epoch,train_loss,train_acc,val_loss,val_acc
1,2.0711554177105427,0.27025,1.8129975348711014,0.337
2,1.6933341845870018,0.39875,1.6817298084497452,0.408
3,1.5326354056596756,0.475,1.567829668521881,0.438
4,1.4076350703835487,0.51525,1.5914770662784576,0.455
5,1.3311684057116508,0.5335,1.4135352820158005,0.524
6,1.2385577522218227,0.57025,1.388011410832405,0.528
7,1.1934118568897247,0.5945,1.354312002658844,0.542
8,1.1322688311338425,0.61225,1.329197496175766,0.54
9,1.0809559859335423,0.633,1.2980784326791763,0.565
10,1.0284158550202847,0.6455,1.2775536626577377,0.571
11,0.9891798943281174,0.66425,1.318428322672844,0.551
12,0.9461250491440296,0.67725,1.3487078696489334,0.55
