epoch,train_loss,train_acc,val_loss,val_acc
1,1.8659281358122826,0.3385,1.493995562195778,0.458
2,1.4591084830462933,0.4865,1.3485654890537262,0.539
3,1.341797485947609,0.52875,1.2637410163879395,0.58
4,1.229264885187149,0.57025,1.1808212995529175,0.572
5,1.187767419964075,0.58475,1.12704598903656,0.616
6,1.0790278501808643,0.63,1.1766337007284164,0.577
7,1.0217106342315674,0.656,1.0675017535686493,0.638
8,0.9552043844014406,0.6695,0.9967043474316597,0.651
9,0.8942449875175953,0.693,0.9834376722574234,0.656
10,0.8465848956257105,0.708,0.9505388960242271,0.675
11,0.7657384872436523,0.74075,0.9275753945112228,0.686
12,0.726371331140399,0.756,0.9432244300842285,0.68
